<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.02.09	00:00:00	1.18264	1.18334	1.18238	1.18305	4349	0	3
2026.02.09	01:00:00	1.18307	1.18334	1.18247	1.18254	4143	0	3
2026.02.09	02:00:00	1.18251	1.18257	1.18159	1.18195	2636	0	3
2026.02.09	03:00:00	1.18195	1.18248	1.18182	1.18188	2041	0	3
2026.02.09	04:00:00	1.18189	1.18266	1.18187	1.18264	1653	0	3
2026.02.09	05:00:00	1.18265	1.18362	1.18256	1.18331	1915	0	3
2026.02.09	06:00:00	1.18330	1.18576	1.18329	1.18518	5222	0	3
2026.02.09	07:00:00	1.18515	1.18598	1.18470	1.18557	5744	0	3
2026.02.09	08:00:00	1.18557	1.18645	1.18516	1.18641	5004	0	3
2026.02.09	09:00:00	1.18642	1.18697	1.18600	1.18619	4186	0	3
2026.02.09	10:00:00	1.18620	1.18696	1.18550	1.18600	4574	0	3
2026.02.09	11:00:00	1.18599	1.18719	1.18555	1.18690	4592	0	3
2026.02.09	12:00:00	1.18692	1.18829	1.18692	1.18812	4515	0	3
2026.02.09	13:00:00	1.18811	1.19057	1.18811	1.19035	7180	0	3
2026.02.09	14:00:00	1.19036	1.19183	1.19026	1.19183	8497	0	3
2026.02.09	15:00:00	1.19183	1.19264	1.19032	1.19120	6973	0	3
2026.02.09	16:00:00	1.19123	1.19175	1.18929	1.18973	5251	0	3
2026.02.09	17:00:00	1.18974	1.19108	1.18972	1.19085	3394	0	3
2026.02.09	18:00:00	1.19084	1.19171	1.19033	1.19158	3876	0	3
2026.02.09	19:00:00	1.19160	1.19161	1.19123	1.19156	712	0	3
